PlantaPorteria_num,ClaveTransportista_num,EmpresaTransportista_num,IdentificacionChofer_num,NumeroProveedor_num,UsuarioPermisoCirculacionIngreso_num,UsuarioEgreso_num,UsuarioPesadaEntrada_num,UsuarioControla_num,UsuarioInsAuditoria_num,UsuarioInspeccion_num,UsuarioDescarga_num,UsuarioPesadaSalida_num
1,18,114,1346,19,23,24,2,19,1,14,14,2
1,86,34,52,20,23,24,2,19,1,14,14,2
1,63,107,545,20,8,9,2,26,1,19,19,2
1,63,107,582,20,6,9,2,3,1,8,8,2
1,63,107,838,20,23,24,2,17,1,19,19,2
1,86,34,508,20,6,7,7,18,1,8,8,8
1,63,107,807,20,8,34,2,26,1,14,14,2
1,86,34,589,20,23,44,2,19,1,8,8,2
1,86,34,505,20,23,24,2,17,1,14,14,2
1,86,34,589,20,1,24,2,19,1,19,19,2
1,86,34,313,20,23,34,2,19,1,19,19,2
1,86,34,285,20,6,7,2,3,1,5,5,2
1,18,114,1238,19,1,24,2,19,1,19,19,2
1,86,34,360,20,1,1,2,19,1,14,14,2
1,86,34,90,20,8,24,2,19,1,14,14,2
1,63,107,842,20,42,44,2,3,1,8,8,2
1,86,34,486,20,8,24,2,26,1,19,19,2
1,63,107,582,20,42,44,2,3,1,14,14,2
1,18,114,1345,19,8,1,2,23,1,19,19,2
1,86,34,653,20,23,34,2,18,1,14,14,2
1,86,34,313,20,6,7,2,3,1,5,5,2
1,63,107,737,1,33,1,2,19,1,14,14,2
1,73,39,543,4,8,1,2,19,1,14,14,2
1,144,80,1374,4,23,1,2,19,1,14,14,2
1,13,50,454,4,23,1,2,17,1,19,19,2
1,13,50,331,4,1,24,2,26,1,8,8,2
1,63,107,835,1,23,24,2,19,1,14,14,2
1,9,35,406,20,1,1,2,19,1,14,14,2
1,17,99,108,29,1,7,2,3,1,19,19,2
1,18,114,1261,19,33,34,2,19,1,14,14,2
1,18,114,1345,19,11,24,2,18,1,8,8,2
1,122,72,1312,3,1,7,2,19,1,5,5,2
1,122,72,1833,3,47,24,2,26,1,19,19,2
1,8,58,822,1,11,24,2,26,1,5,5,2
1,63,107,758,1,11,12,2,26,1,14,14,2
1,122,72,1823,3,11,1,2,3,1,14,14,2
1,122,72,371,3,23,12,2,19,9,8,8,2
1,122,72,1833,3,23,1,2,19,1,14,14,2
1,122,72,1785,3,1,12,2,19,1,8,8,2
1,78,63,735,87,11,1,2,3,1,14,14,2
1,144,80,1468,4,1,24,2,26,1,8,8,2
1,144,80,1545,4,23,34,2,19,1,5,5,2
1,85,80,1395,4,1,24,13,26,1,8,8,2
1,89,98,831,2,33,44,2,19,1,8,8,2
1,13,50,450,1,6,9,2,3,1,19,19,2
1,63,107,764,1,33,9,2,3,1,8,8,2
1,63,107,738,1,8,9,2,23,1,19,19,2
1,63,107,842,1,1,12,2,3,1,5,5,2
1,63,107,614,1,1,12,2,19,1,8,8,2
1,63,107,730,1,8,12,2,19,1,14,14,2
1,13,50,450,1,11,12,2,26,1,8,8,2
1,86,34,313,20,11,12,2,3,1,8,8,2
1,86,34,589,20,11,12,2,26,1,8,8,2
1,86,34,332,20,23,1,2,26,1,5,5,2
1,86,34,285,20,6,7,2,3,1,14,14,2
1,63,107,582,20,11,12,2,26,1,8,8,2
1,86,34,384,20,8,49,2,23,1,19,19,2
1,63,107,835,1,23,34,2,17,1,14,14,2
1,63,107,810,1,23,24,2,17,1,19,19,2
1,63,107,614,1,42,24,2,17,1,8,8,2
1,89,98,419,2,8,1,2,3,1,14,14,2
1,87,139,765,8,11,24,2,26,1,5,5,2
1,87,139,1608,8,1,9,2,23,1,14,14,2
1,87,139,760,8,23,1,2,19,1,14,14,2
1,87,139,766,8,23,12,2,3,1,14,14,2
1,59,54,121,8,11,24,2,18,1,5,5,2
1,85,80,1584,38,23,24,2,26,1,5,5,2
1,144,80,1571,31,11,1,2,18,1,14,14,2
1,144,80,1797,31,1,12,2,18,1,5,5,2
1,144,80,376,28,23,1,2,23,1,14,14,2
1,86,34,319,20,11,12,2,3,1,8,8,2
1,17,99,572,4,47,24,2,3,1,8,8,2
1,13,50,57,4,8,24,2,3,1,5,5,2
1,86,34,573,20,1,1,2,19,1,14,14,2
1,86,34,384,20,42,44,2,3,1,14,14,2
